Member_number,Date,itemDescription,Cost,Date_Numeric_value
1808,21-Jul-15,tropical fruit,4,42206
2552,05-Jan-15,whole milk,2,42009
2300,19-Sep-15,pip fruit,3,42266
1187,12-Dec-15,other vegetables,5,42350
3037,01-Feb-15,whole milk,2,42036
4941,14-Feb-15,rolls/buns,1,42049
4501,08-May-15,other vegetables,5,42132
3803,23-Dec-15,pot plants,2,42361
2762,20-Mar-15,whole milk,2,42083
4119,12-Feb-15,tropical fruit,4,42047
1340,24-Feb-15,citrus fruit,3,42059
2193,14-Apr-15,beef,7,42108
1997,21-Jul-15,frankfurter,2,42206
4546,03-Sep-15,chicken,6,42250
4736,21-Jul-15,butter,1.5,42206
1959,23-Mar-14,pip fruit,3,41721
1974,03-May-15,packaged fruit/vegetables,5,42127
2421,02-Sep-15,chocolate,5,42249
1513,03-Aug-15,specialty bar,3,42219
1905,07-Jul-15,other vegetables,5,42192
2810,08-Sep-15,butter milk,1.65,42255
2867,12-Nov-15,whole milk,2,42320
3962,18-Sep-15,tropical fruit,4,42265
1088,30-Nov-15,tropical fruit,4,42338
4976,17-Jul-15,bottled water,2,42202
4056,12-Jun-15,yogurt,1.65,42167
3611,13-Feb-15,sausage,1.49,42048
1420,14-Jan-15,other vegetables,5,42018
4286,08-Mar-15,brown bread,0.8,42071
4918,27-Jan-15,yogurt,1.65,42031
4783,22-Oct-15,hamburger meat,5,42299
3709,26-Oct-15,root vegetables,7,42303
4289,08-Oct-15,pork,8,42285
1559,03-Oct-15,beef,7,42280
2900,11-Apr-15,pastry,5,42105
1905,21-Feb-15,fruit/vegetable juice,10,42056
3527,29-Sep-15,canned beer,3.5,42276
1495,09-Jan-15,root vegetables,7,42013
3558,03-Apr-15,citrus fruit,3,42097
3128,20-Apr-15,sausage,1.49,42114
1863,04-Aug-15,tropical fruit,4,42220
3841,19-Jul-15,berries,6.5,42204
3903,06-Oct-15,canned beer,3.5,42283
2658,16-Oct-15,butter milk,1.65,42293
4272,06-Jun-15,coffee,15,42161
1120,26-Sep-15,pastry,5,42273
2676,15-Aug-15,rolls/buns,1,42231
1697,21-May-15,misc. beverages,20,42145
2507,25-Aug-15,root vegetables,7,42241
4620,11-Mar-15,sausage,1.49,42074
3365,01-Feb-15,canned beer,3.5,42036
2978,05-Jun-15,ham,10,42160
2910,28-Jul-15,turkey,13,42213
1061,05-Sep-15,whole milk,2,42252
3276,03-Apr-15,whole milk,2,42097
1326,19-Jun-15,packaged fruit/vegetables,5,42174
3023,28-Jul-15,rolls/buns,1,42213
2185,11-Oct-15,ham,10,42288
3552,16-Jun-15,rolls/buns,1,42171
1967,20-Jan-15,other vegetables,5,42024
4708,20-Mar-15,sausage,1.49,42083
2874,15-Feb-15,sausage,1.49,42050
4177,13-Apr-15,frankfurter,2,42107
1663,07-Feb-15,rolls/buns,1,42042
2632,02-Mar-15,whole milk,2,42065
1377,14-Mar-15,curd cheese,7,42077
4162,22-Dec-15,red/blush wine,10,42360
2270,01-Jul-15,sausage,1.49,42186
4829,03-Nov-15,tropical fruit,4,42311
3811,14-Apr-15,red/blush wine,10,42108
4766,29-Sep-15,whole milk,2,42276
2436,12-Apr-15,frankfurter,2,42106
3860,05-May-15,whole milk,2,42129
4875,12-May-15,frozen potato products,2,42136
1587,01-Jul-15,other vegetables,5,42186
4038,08-Jul-15,citrus fruit,3,42193
4750,21-Sep-15,flour,20,42268
1199,10-Dec-15,sugar,15,42348
1603,30-Sep-15,frozen meals,5,42277
3111,31-Jan-15,chocolate,5,42035
3894,13-Dec-15,root vegetables,7,42351
1456,18-Sep-15,root vegetables,7,42265
2022,04-Mar-15,herbs,7,42067
2505,30-Nov-15,bottled water,2,42338
4851,20-Dec-15,sausage,1.49,42358
4293,04-Aug-15,coffee,15,42220
2775,06-Nov-15,pork,8,42314
3693,18-Feb-15,berries,6.5,42053
1202,22-Jul-15,soda,6,42207
3699,23-Aug-15,berries,6.5,42239
4152,15-Apr-15,fruit/vegetable juice,10,42109
4155,26-Jan-15,citrus fruit,3,42030
4010,29-Dec-15,pork,8,42367
4389,20-Oct-15,detergent,10,42297
3746,17-Aug-15,grapes,7,42233
2560,17-May-15,sausage,1.49,42141
1503,25-Jul-15,chicken,6,42210
2555,23-Dec-15,whole milk,2,42361
3645,12-Dec-15,citrus fruit,3,42350
3886,11-Sep-15,soda,6,42258
2932,20-Mar-15,sausage,1.49,42083
1711,18-Jun-15,frankfurter,2,42173
4291,08-Dec-15,sausage,1.49,42346
1143,25-Apr-15,soda,6,42119
4564,08-Jul-15,rolls/buns,1,42193
3337,14-May-15,beef,7,42138
4931,04-May-15,whole milk,2,42128
2623,10-Oct-15,processed cheese,12,42287
4581,03-Apr-15,tropical fruit,4,42097
2635,11-Jun-15,frankfurter,2,42166
1095,30-Oct-15,packaged fruit/vegetables,5,42307
2990,23-May-15,whole milk,2,42147
2426,05-Jun-15,berries,6.5,42160
4555,07-Nov-15,citrus fruit,3,42315
3635,04-Sep-15,tropical fruit,4,42251
3058,18-May-15,hamburger meat,5,42142
4391,26-Mar-15,hamburger meat,5,42089
1306,23-Jun-15,whole milk,2,42178
1024,10-Aug-15,fish,13,42226
1295,23-Jul-15,frankfurter,2,42208
1661,01-Jun-15,packaged fruit/vegetables,5,42156
4591,15-May-15,pastry,5,42139
3169,14-Jun-15,other vegetables,5,42169
3915,21-May-15,misc. beverages,20,42145
1127,14-Jan-15,frankfurter,2,42018
4828,08-Aug-15,sparkling wine,25,42224
3683,10-Jun-15,specialty bar,3,42165
1971,18-Sep-15,sausage,1.49,42265
3014,11-Nov-15,curd cheese,7,42319
3779,15-Sep-15,frankfurter,2,42262
2489,04-May-15,whole milk,2,42128
3564,27-Jun-15,newspapers,2,42182
4092,30-Sep-15,berries,6.5,42277
